Title,Album,Lyrics
しおれた花,わすれもの,所々に涙の跡の にじんだ手紙は 思いつめてた あなたの胸の 痛みを伝える それでなくても 赤いリンゴをむく手を休めて 僕にかくれて 涙を拭う あなたを知ってた いつもと同じバスで出て行く今朝のあなたの いつもと違う事は一度も振り返らなかった事 いつか心の花瓶がひび割れて そこに咲いてた二人の花がしおれた 初めからそんな二人じゃなかった 余り互いに気づかい過ぎたのだろうか 砂の上に二人で描いた悲しい生活 雨が降るたび風が吹くたび形を変えてた 描いては消し 消しては描きやがては疲れて 出逢う前のそれぞれ別の世界に戻った いつもと同じバスで出て行く今朝のあなたの いつもと違う事は一度も振り返らなかった事 ※いつか心の花瓶がひび割れて そこに咲いてた二人の花がしおれた 初めからそんな二人じゃなかった 余り互いに気づかい過ぎたのだろうか 心の花瓶がひび割れて そこに咲いてた二人の花がしおれた 心の花瓶がひび割れて そこに咲いてた二人の花がしおれた 心の花瓶がひび割れて そこに咲いてた二人の花がしおれた
あこがれ,わすれもの,あこがれていたの ずっと前から けれども今日まで 少しも気づかなかった あなたが去りゆき 頬に涙して 気がつくなんて おバカさんね私 もう時は戻らず もう二度とあえない  だから せめて せめて まごころをこめて さよなら さよなら いつまでも涙のままで あこがれてゆくの ずっとこれからも 心の鐘を ひとり 打ち鳴らしながら 今ふたりの時は すべて 思い出に変る だから せめて せめて まごころをこめて さよなら さよなら いつまでも涙のままで
虹がかかったら,わすれもの,君の長い髪が 木漏れ陽と遊ぶよ 風に吹かれてもっと 笑ってごらんよ 僕のギターにあわせ 揺れるふたりの影 夢をみながらもっと 緑の森の中 とてもいい気持 何だか君とても きれいだよ 藁葺き屋根の家 もう一度だけ 云おうか 君が好きだなんて  君の澄んだ瞳 僕にはまぶしくて 背中越しになにかを云おうとしたけど 気まぐれなにわか雨 とってもいじわるで 僕の小さなつぶやきを喰べてしまったよ 緑の雲の上 虹がかかったら 明日もまた ここであえるかな ほんとは少しだけ 照れくさいんだけれど 雨にぬれた君の髪 ふいてあげようかな 緑の雲の上 虹がかかったら 明日もまた ここであえるかな ほんとは少しだけ 照れくさいんだけれど 雨にぬれた君の髪 ふいてあげようかな もう一度だけ 云おうか 君が好きだなんて
ほおずき,せせらぎ,"いくつかの水たまりを残して 
梅雨が駆け抜けてしまえば 
しめった風の背中越しに 
きみの好きな夏が来ます 
あの日きみにせがまれて 
でかけた小さなお祭り 
綿菓子の味 アセチレンの光 
きみは赤いほおずきを買った 

ため息でまわした ひとつのかざぐるま 
とまらずにとまらずに 
まわれと二人 祈っていたのに 
きみの下駄の鼻緒が切れた
ひとごみに まかれて 切れた 
僕の肩にすがり うつむいたきみは 
おびえるように 涙をこぼした 
走馬灯に照らされて 
僕はほおずきをかんで 
風鈴の唄に合わせてきみが 
団扇でそっと風をくれた 
僕の肩越しに 
子供の花火をみつめ 
きみは小さくつぶやいた
消えない花火があるなら欲しいと 
たわむれに刻んだ 
二人のたけくらべ 
背のびして背のびして 
つま先立っても とどかない 
あの日のお祭りに 
今夜は一人で行ったよ 
ふたりがはなれることは 
想い出のほかに ひろったものは 
誰かが忘れた ほおずきをひとつ "
殺風景,せせらぎ,"あなたが嫌いになった
わけではありません
あなたより好きな人が 
できただけのことです 

それは私が悪いのでなく 
あなたのせいでもない 
しいていうならばそれは 
何かの間違いでしょう 
ランララー 

ふたりがはなれることは
ありはしないなんて 
思い込ませてすごした 
時間がいけないのでしょう 
それは私が悪いのでなく 
あなたのせいでもない 
しいていうならばそれは 
何かの間違いでしょう 
ランララー "
ゆだねられた悲しみ,せせらぎ,"ゆだねられた悲しみを 透明な風が 
コスモスといっしょに 運んでいった
コスモスは悲しみ
やさしげに揺れる悲しみ 
澄み渡った空に 
赤とんぼが置き去られ 
ほほえむことなく 縮れたひまわりに 
秋の来たことを 
今日もまた告げていました"
女郎花,せせらぎ,"夾竹桃の花は紅い花 
私の涙は銀の鈴 
お諏訪の森の風は 
日見の峠を越えて来る 
親の便りをのせながら 
あの人の面影をしのばせて 
龍舌蘭の夢は白い夢 
私の心は灰神楽 
寺町通りの風は 
銅座の川から吹いて来る 
夢を見るには 醒め過ぎて
見返り柳をふるわせる 
篭町の小鳥は 
 
いつかは私を連れて飛ぶ 
それまでひとりで 女郎花 
想い出が過ぎれば すぐに雨 
想い出が過ぎれば すぐに雨 "
残像,せせらぎ,"君が最後に告げた 
冷たいひとことが僕を 
凍てつかせて もう何も見えないよ 
もう一度扉を開けて 
昨日までと 同じように 
僕の胸を あたためておくれ 
もうふたりの恋は終ったのですか 
楽しかった日々のかけらは 
もう君と僕との間には 
ほほえみさえ 
残して置いてはくれなかったの 

それを君はひとこと 
季節はずれの通り雨と
言い捨てて しまうのでしょうか
もうふたりの恋は終ったのですか 
楽しかった日々のかけらは 
もう君と僕との間には 
ほほえみさえ 
残して置いてはくれなかったの "
交響楽,せせらぎ,"煙草をくわえたら 貴方のことを 
突然思い出したから 
涙の落ちる前に 故郷へ帰ろう 
町の居酒屋のヴァイオリン弾きや 
似顔絵描きの友達も 
今はもういない 古い町へ 
今でもそこにあなたがいたら 
僕は何ていうだろう 
あなたに逢うには 使い残した 
時間があまりに軽すぎて 
悔やんではいないよ 
想いはつのっても そうさ昔は昔 
今から思えば貴方がワグナーの 
交響楽を聞きはじめたのが 
二人の別れてゆく 兆になった 
何故ならそれから あなたは次第に 
飾ることを覚えたから 
確かに美しくなったけれど 
見栄えのしないおもちゃに飽きた 
あなたがいけない訳じゃない 
新しい風にその身をまかせ
子供が大人になっただけ 
悔やんではいないよ 
想いはつのっても そうさ昔は昔 
そうさ昔は昔 "
ラウドネス,せせらぎ,
絆,せせらぎ,"僕とあなたを 
つなぎとめるものが 
そんな小さな 
信じられない 
言葉だけなんて 
淋しすぎるよ
だから今は何も言わない 
*あなたがいつか おとなになれば 
その時初めて 僕は告げるよ 
あなたを今まで 
愛し続けてきたことを 
AH~ 
AH~ 
だからそれまで あなたの肩を 
じっと抱いたままで・・・・・ 
あなたがいつか おとなになれば 
その時初めて 僕は告げるよ 
あなたを今まで 
愛し続けてきたことを 
AH~ 
AH~ 
だからそれまで あなたの肩を 
じっと抱いたままで・・・・・ "
風邪,せせらぎ,"今日は風邪をひいてしまったから 
きみへの電話は止すよ
こんなシオカラ声じゃ 
君に よけいな心配させる 
こんな時は黙って寝てるのが 
一番いいのよって君が 
前にいってたけれど 
確かに煙草がおいしくないね 
季節がかわれば風邪もなおるよ 
そしたら最初に 電話をするよ 
所できみから手紙が来たよ 
初めの頃みたいに 
少し照れくさそうな 
文字が とりとめもないことばで 
君はどんな気持で書いたの 
ポストまでかけ出したの 
早く着きます様にって 
初めみたいに祈ったの 
季節がかわれば風邪もなおるよ 
そしたら最初に 返事を書くよ
季節がかわれば風邪もなおるよ 
そしたら最初に 返事を書くよ"
恋人擬,せせらぎ,"春の日に花畑を 
ゴトゴトとね 
それに合わせ 君のまつ毛が 
ふわふわとね 
まわりのみんなが 僕等を 
恋人同志だと 
思い込んでね 信じこんでさ 
ざわざわざわ 
少しばっかり 伸びすぎた 
僕の髪がユラユラ 
愉快だね 誰もがみな 
ウキウキとね 
僕等をみて 嬉しそうに 
ソワソワとね 
僕がきみの肩を 
抱いたりしたならば 
ざわざわざわ 
残念でしたってお日様が 
笑いながら ポカポカ "
掌,せせらぎ,"うつむきがちに 私は 
掌をみつめてる 
自分の人生をみつめている 
つかみそこねた愛を 

指でそっとたどって 
ためらいに疲れてため息つく 
今より少しでいいから 
勇気があれば 
あなたのあたたかい指を 
離さずにすんだのに 
ありきたりの別れなど 
しなくてすんだのにと 
流した涙の数を 
指折りかぞえてみる 
ついてるついてないとかぞえてみる 
いつの間にか私の 
悲しみの数の方が 
自分の年よりも増えてしまった 
掌を鏡に写しさよならと云ってみる 
いつもと同じ笑顔でこうして別れた 
そしていつもこの涙を拭うのも私の手 "
追伸,せせらぎ,"撫子の花が咲きました 
芙蓉の花は枯れたけど 
あなたがとても無口になった秋に 
こわくて私聞けませんでした 
あなたの指の白い包帯 
上手に巻いてくれたのは誰でしょう 

風に頼んでも無駄ですか 
振り返るのは嫌いですか 
どこにもある様な事ですか 
私髪を切りました 
きっとみんなが安心するよ
たとえば今日のあなたのこと 
他の人と楽しそうに笑ってた 
あなたの声が眩しくて耳をふさぎました 
下手なくせにあなたの為に 
編みかけた白いベスト 
やはり夢でした ほどき始めましょう 
あなたに借りた鴎外も 
読み終えていないのに 

最後のわがままですあなたの 
肩巾教えてください 
風に頼んでも無駄ですか 
振り返るのは嫌いですか 
どこにもある様な事ですか 
私髪を切りました "
朝刊,コミュニケーション,きみは早起きしたのが さも得意そうに ねぼけまなこの僕を 朝食に追いたて ねェまた巨人が負けたってさって 高田の背番号も知らないくせに どうでも良いけど トーストが焦げてるからね 僕は君に新聞通に なって欲しくない 新しいエプロンも可愛いけどね またあわてて焦げを作るんだろ 前に親父が来たときも 僕の好物のカラスミを 手土産にとくれたのに わざわざまた煮て駄目にして ごめんなさいっていいながら 一番笑いこけたのは君 まったくきみのどじだけは 日本一 おいこりゃ お前の母親以上だぞって 親父が目を細め ささやいた だからさ 怪我だけは気をつけとくれ 前にお袋に電話して 僕が死んじゃうと 泣き出して ただの食べ過ぎとわかったら 安心して君が寝こんじまった ごめんなさいっていいながら 一番蒼い顔してた まったくきみのどじだけは 日本一 ねェこりゃあたしの若い時以上だよって お袋が嬉しそうに ささやいた だからさ 怪我だけは  気をつけとくれ だからさ だからさ
19才,コミュニケーション,もう19になるのだから 家を出ようかと思います 母とけんかをしたとかそんな ことではないんです ただ何となく それならばひとりきり 生きてみろと 云われても 無理なこと わかってる それだけに歯がゆくて 中途半端なんです もうそろそろ子供という 足かせが重くなっただけ 世の中がいやになったとかいう 訳ではないんです ただ何となく 学校を人並に無事に出て いつの日か 幸せな花嫁に 敷かれている レイルウェイ 途中下車しちゃ いけませんか そういうとあの人が 少しだけ笑って云いました 世間知らずの 甘えん坊さん そんな年令なんだと ただ何気なく でも私これだけは決めました 19に なったなら あの人に 家に来てもらって 父さんに会ってもらおうと
哀しきマリオネット,コミュニケーション,糸が絡んだ操りピエロ 僕と同じ涙の色して 君に飽かれて手足もがれて いつの間にやら君のおもちゃ箱 そこで思った操りピエロ 君をこの手に抱きしめ様など 初めから無理だから空振り とどのつまりは君のおもちゃ箱 マリオネット マリオネット 悲しすぎるね そうだね だから最初に言ったろ 駄目なものは駄目 AHAHAHA だから いつになっても 操りピエロ 肩をおとして操りピエロ やっぱり君もすてられたのかい 隣に寝てる おもちゃの兵士 何を笑うか 五十歩百歩 いつもそうだよ操りピエロ 珍しいうちもてはやされて やがて飽きたら ポイとあきれた ほこりかぶって 君のおもちゃ箱 マリオネット マリオネット おかしすぎるね そうだね だから最初に 言ったろ 駄目なものは駄目 AHAHAHA つまり いつになっても 操りピエロ AHAHA HA だから いつになっても 操りピエロ
絵踊り,コミュニケーション,藁半紙 机の色あせた 鉛筆の 無邪気で気ままな 絵踊り 藁半紙 机の花びらを添えたまま 夢のうたたね 絵踊り 愛のない世界の 鉛筆と消しゴムの 無邪気で気ままな絵踊り 藁半紙 机の鉛筆と消しゴムの 無邪気で気ままな 絵踊り
かなしいうた,コミュニケーション,淋しがりやの僕が かなしいうたの絵を描いて 悲しがりやの君が 淋しい心で色を塗る 雨の日は雨色で 風に日は風色で ラララン ラララン・・・ ふたりお揃いの歌と ふたりお揃いのTシャツと ふたりお揃いの愛の 他に君 何か要りますか 春の日は 春色で 秋の日は 秋色で 今日の日もふたりなら 明日の日もふたりなら ラララン ラララン・・・
無縁坂,コミュニケーション,母がまだ若い頃 僕の手をひいて この坂を登る度 いつもため息をついた ため息つけばそれで済む 後だけは見ちゃだめと 笑ってた白い手は とてもやわらかだった 運がいいとか悪いとか 人は時々 口にするけど そういうことって確かにあると あなたをみててそう思う 忍ぶ 不忍無縁坂 かみしめる様な ささやかな僕の母の人生 いつかしら僕よりも 母は小さくなった 知らぬまに白い手はとても小さくなった 母はすべてを暦に刻んで 流して来たんだろう悲しさや苦しさはきっとあったはずなのに 運がいいとか悪いとか 人は時々 口にするけど めぐる暦は季節の中で 漂い乍ら過ぎてゆく 忍ぶ 不忍無縁坂 かみしめる様な ささやかな僕の母の人生
縁切寺,コミュニケーション,今日鎌倉へ行って来ました 二人で初めて歩いた町へ 今日のあの町は人影少なく 想い出に浸るには十分過ぎて 源氏山から北鎌倉へ あの日と同じ道程で たどりついたのは縁切寺 ちょうどこの寺の山門前で きみは突然に泣き出して お願いここだけは 止してあなたとの 糸がもし切れたなら 生きてゆけない あの日誰かに頼んで撮った 一枚切りの一緒の写真 納めに来ました 縁切寺 君は今頃 幸せでしょうか 一度だけ町で見かけたけれど 紫陽花までは まだ間があるから こっそりと君の名を呼ばせてください 人の縁とは不思議なもので そんな君から 別れの言葉 あれから三年 縁切寺
雲にらくがき,コミュニケーション,風よ 青春という 僕の舟をだいて 舞いあがれ 君をのせて 僕をのせて 君と出会った時に 僕は手に入れたよ  長いこと夢みていた 愛の翼 これからは君と空のお散歩 雲のキャンバスにちょっとらくがき 高い煙突にリボン あれは君のいたずら 空を空を空を飛んで遠い 僕の故郷へ連れていってあげる これからは君と空のお散歩 雲のキャンバスにちょっとらくがき 虹のかけらを盗んで 君へのエンゲージリング 海を海を海を越えて 遠い 僕の故郷へ連れていってあげる 海を海を海を越えて 遠い 僕の故郷へ連れていってあげる
風と空,コミュニケーション,風の吹き荒ぶ 暗い空の晩 少女は生まれました 晴れることのない 黒く澱んだ 岩と草の地方で 夢多き母の愛を受け 深い眠りの中 いつも いつの日も 変ることのない 今日もいつものよう 風と砂嵐 空は薄暗く少女は塞ぎ込んだ いつの日か 愛を知り始め 愛がのしかかってきた 森の向うには 緑のまぶしさが 遠く輝いてる 森の向うには 緑のまぶしさが 遠く輝いてる
笑顔同封,コミュニケーション,あなたからバースデイカードの お返しにと届いた手紙 ありがとうを三回だけの とても短い手紙 何度もくり返し読み返し乍ら あなたの懐かしい文字指でたどる 封を切ったなら こぼれる日射し あなたは相変らず 手紙にまで 笑顏同封  あの頃とくらべたなら あなたはすっかり大人の香り 恋のひとつやふたつくらい すごして来たのでしょう も一度初めからやりなおせそうな やさしさがあなたの文字に残っている 振り返ったなら こぼれる日射し あなたは相変らず 手紙にまで 笑顔同封 相変らず 手紙にまで 笑顔同封 相変らず 手紙にまで 笑顔同封 
フレディもしくは三教街-ロシア租界にて-,コミュニケーション,フレディ あなたと出会ったのは漢口 揚子江沿いのバンドで あなたは人力車夫を止めた フレディ 二人で初めて行った レストラン 三教街を抜けて フランス租界へとランデブー あの頃私が一番好きだった 三教街のケーキ屋を覚えてる? ヘイゼルウッドのおじいさんの なんて深くて蒼い目 いつでもパイプをくゆらせて アームチェアーで新聞をひろげてた フレディ あなたも 年老いたらきっと あんなすてきなおじいさんに なると思ってたの 本当に思ってたの フレディ それから レンガ焼きのパン屋の ボンコのおばあさんの 掃除好きなこと フレディ 夕暮れの鐘に十字切って ポプラの枯葉に埋もれたあの人は一枚の絵だった 本当はあなたと私のためにも 教会の鐘の音は響くはずだった けれどもそんな夢のすべても あなたさえも奪ったのは 燃えあがる紅い炎の中を飛び交う戦斗機 フレディ 私はずっとあなたの側で あなたはすてきな おじいさんに なっていたはずだった フレディ あなたと出会ったのは漢口 
多情仏心,帰去来,"誰がとばしたか竹蜻蛉
横風に追われて
あなたとの愛みたいに
うしろ向きに落ちた

誰がとばしたか　シャボン玉
あき風に追われて
あなたとの愛みたいに
すぐはじけて消えた"
線香花火,帰去来,"ひとつふたつみっつ流れ星が落ちる
そのたびきみは　胸の前で手を組む
よっついつつむっつ流れ星が消える
きみの願いは　さっきからひとつ
きみは線香花火に　息をこらして
虫の音に消えそうな　小さな声で
いつ帰るのと　きいた
あれがカシオペア　こちらは白鳥座
ぽつりぽつりと　僕が指さす
きみはひととおり　うなずくくせに
みつめているのは　僕の顔ばかり
きみは線香花火の　煙にむせたと
ことりと咳して　涙をぬぐって
送り火のあとは　静かねって
きみの浴衣の帯に　ホタルが一匹とまる
露草模様を　信じたんだね
きみへの目かくしみたいに　両手でそっとつつむ
くすり指から　するりと逃げる
きみの線香花火を　持つ手が震える
揺らしちゃ駄目だよいってるそばから
火玉がぽとりと落ちて　ジュッ
"
異邦人,帰去来,"今更アルバムなんて　欲しくはないけれど
それがあなたのひとつだけの　形見となれば別だわ
だからこうして　ホラ　この街を久し振りにたずねた
過ごしたアパルトマンは　マロニエ通りの奥
洗濯物の万国旗や　雨晒しの自転車
タイムマシンで　ホラ　戻った様に　何もかも或の日のまま
シミだらけの見慣れた壁をたどり
懐しい手摺をたどり　夢をたぐり　今日はひとり
確かめるのは本当の終わり

「意地を張るのに嘘ついて
嘘を隠すためにまた嘘をつく
例えば ごめんなさいが素直に言えたら
こんな遠回りなどしなくて済んだだろうか（独白部につき不正確）」

狭いドアをあければ　涙を拭いもせず
あなたにすがる可愛い人　あなたの最後の人
そうよこうして　ホラ　泣いてくれる人は他にもある
あなたのお友達は　私を見上げると
あからさまに顔曇らせて　黙って目を伏せる
私一人が　ホラ　異邦人（エトランゼ）何もかも或の日のまま
薄暗い階段を降りる　足元がかすかにうるむ
太陽が　眩しいから…
"
冗句,帰去来,"言おうか 今日は言おうか
思い続けて過した 一度ずつの夏と秋
このままいっそこのまま
君を奪って逃げよう そう想うだけの送り道

別れぎわくらいは 思い切ればいいのに
引っ込み思案の僕の言葉は 奥歯にしがみついて

出て来た言葉といえば
おやすみ気をつけて それから君のママにヨロシクって

今更そんなことばかり
あげくの果ては 大事な一言だけが廻り道

一度だけこっそりと 人ごみに紛れて
君が好きと言ったら
その日で一番ウけた笑い話

今夜も君の前では あたらずさわらず
いつもの冗談ばかりで つまりは
さよなら今日はさよなら きっと明日もさよなら
それじゃ また明日ねって

君はそんな僕を知ってか知らずか
いつもの冗談ばかりで 結局
さよなら今日はさよなら きっと明日もさよなら
それじゃ また明日にでもって
"
第三病棟,帰去来,"僕の病室 君のそろえた
青い水差しと 白いカーテン
子供の声に 目覚めれば 陽射し
坊やが窓越しに 笑顔でおはよう
あの子の部屋は 僕の真向い
お見舞の 苺が見える
やがて注射はいやだと泣き声
いずこも同じと 君が笑う

遊び盛りの 歳頃なのにね
あんなに可愛い 坊やなのにね
カルテ抱えた  君は一寸ふくれて
不公平だわとつぶやいた
紙飛行機のメッセージ
坊やから届いたよ
夏が過ぎれば、元気になるから
そしたら二人で キャッチボールしよう

返事をのせた 飛行機を折って
とばそうと見たら からっぽの部屋
少し遅めの 矢車草が
狭い花壇で揺れるばかり
受けとる人の誰もいない
手を離れた飛行機
君と見送る 梅雨明けの空へ
坊やのもとへと 舞いあがる
"
夕凪,帰去来,"今はこうしてひざを抱えて寄せては返す波の
想い出に身を任せて居よう
あの日同じ水ぎわで君は消えてゆく足跡が
悲しいとだから側に居てと言った
大きな貝ガラ白い耳にあてて
又来る夏を占う
君の影が揺らいで落ちて 風が止まる
僕に見えないものが見えたね
だから急に黙った 紅い夕陽が
君の涙に沈んだ

海猫たち もうお帰り
僕も砂を払おう
君の影が揺らいで消えて夢が止まる
やがて ここにも風は戻って 隆から海へとまた
くり返す くり返す　くり返す

海猫たち さあもうお帰り
僕も砂を払おう
僕の影が消える前に 消える前に
"
童話作家,帰去来,"私が童話作家になろうと思ったのは
あなたにさよならを言われた日
もとよりあなたの他には 生き甲斐などないし
さりとてこの世をみつめる勇気もなかったし
今迄二人が過ごしたあらすじを
想い出という消しゴムで消して
夢でもたべながら　ひっそり暮らしてみよう
あなたの横顔を　思い出さずに済む様に

私が童話作家になって思うのは
本当を書くことの難しさ
だって私自身がとても噓つきで
涙をかくしては笑って過ごしてる
原稿用紙に色鉛筆で
幸せの似顔 描いてはみるけど
悲しいくらいに　駄目な私の指先は
気がつけばいつでも　あなたの笑顔を描いてる

私が童話作家になろうと思ったのは
あなたにさよならを言われた日
"
転宅,帰去来,"親父が初めて負けて大きな家を払った
指のささくれ抜くみたいに　後ろ向きで荷作りをした
いやな思い出は皆　残してゆきましょうと
床の間の掛軸丸めたら　かあさんが言った
丁度かくれんぼで 息ひそめて
鬼の過ぎるのを待つみたいで
何も無くなった部屋では
おばあちゃんが 畳ふいてた

それから移り住んだのは　学校の裏通り
そこではじめて家で過ごす　親父の背中を見た
ひとつ覚えているのは　おばあちゅんが我が子に
負けたままじゃないだろうと　笑い作ら言ったこと
人生は潮の満ち引き
来たかと思えば また逃げてゆく
失くしたかと思えばまた
いつの間にか戻る
そのあと我が家はも一度　家を替わることになる
一番喜ぶはずの人は　間に合わなかったけれど
人生は潮の満ち引き
来たかと思えば また逃げてゆく
失くしたかと思えばまた
いつの間にか戻る
"
絵はがき坂,帰去来,"あなたはためらいがちに 何度も言いあぐねて
どうしてそんなこと ああ 迷うのですか
ひとりで生きてゆける程 お互い大人じゃないし
それにしてもあなたの時計 ああ 進み過ぎました
カンナがもうすぐ咲くから
それまであなたが髪を切らなければいいね
出来たら本当にいいね
活水あたりはまだ 絵はがきどおりの坂
つたやかづらの香り背に 学生達が通る
あなたの横顔越しに シャボン玉がいっせいに
弾じけた気がしたのは ああ 紫陽花ですか

同じ様にジーンズ着て　アンアン・ノンノ抱えた
若いお嬢さん達が今　シャッターを切った
活水あたりはまだ 絵はがきどおりの坂
僕も思い出欲しくてそっと 心でシャッター押した
絵はがき坂を　下りながらあなたは
やっぱり言いましたね
ああさよならですか
"
指定券,帰去来,"もうこれまでねと　君はうつ向いて
左の頬だけで　ひっそり笑った
北口改札を仔鹿の様に
鮮やかにすりぬけて出て行った
せめてもの　お別れに　一度だけ　振り向いてくれたのに
丁度　今着いた　修学旅行の制服達が　君をかき消して
最後の声さえ　喰べてしまう
長いエスカレーター　昇って降りて
やっとの思いで　出した答
はじめる前から　終る旅もある
やはり野におけ　れんげ草
せめてもの　はなむけに　一度だけ手を振ってみせた
うしろ姿を　つつむ紙吹雪　それは僕の　ふるさとゆきの
季節はずれの　指定券
"
